br17.atsp;39;438;0-2-13-1-9-10-12-5-6-14-15-3-4-7-8-16-11-0
gr17.tsp;2085;446;0-3-12-6-7-5-16-13-14-2-10-9-1-4-8-11-15-0
gr21.tsp;2707;13360;0-6-7-5-15-4-8-2-1-20-14-13-12-17-9-16-18-19-10-3-11-0
gr24.tsp;1272;152791;0-11-3-22-8-12-13-19-1-14-18-17-21-16-9-4-20-7-23-5-6-2-10-15-0
atsp10;798;1;0-1-4-9-2-7-3-8-6-5-0
tsp10;1067;1;0-5-6-4-9-2-1-3-8-7-0
atsp11;843;2;0-7-3-4-8-1-5-2-9-6-10-0
tsp11;876;2;0-4-3-8-5-9-1-10-6-2-7-0
atsp12;1228;6;0-8-10-2-3-7-4-9-6-1-5-11-0
tsp12;828;6;0-2-10-11-1-6-8-5-4-3-9-7-0
atsp13;1064;14;0-12-2-9-1-4-11-6-10-8-3-5-7-0
tsp13;1519;14;0-4-12-1-7-10-3-2-8-9-5-6-11-0
atsp14;687;35;0-6-11-9-8-12-2-5-4-13-10-3-1-7-0
tsp14;1272;35;0-6-10-13-4-5-7-3-12-8-1-2-11-9-0
atsp15;1035;82;0-3-8-12-4-14-11-1-10-13-5-9-7-6-2-0
tsp15;1448;82;0-2-5-12-3-10-14-7-9-1-13-4-11-6-8-0
atsp16;911;191;0-8-3-4-9-1-2-11-14-12-7-10-6-5-15-13-0
tsp16;1385;190;0-2-7-1-5-12-10-6-9-15-4-3-11-13-8-14-0
atsp17;1132;458;0-9-11-8-3-12-6-10-2-14-13-7-16-15-1-4-5-0
tsp17;1673;456;0-1-2-13-6-15-11-5-16-4-12-9-8-7-14-3-10-0
atsp18;862;1116;0-13-17-7-16-15-10-2-8-14-11-5-12-9-3-6-4-1-0
tsp18;1386;1110;0-6-5-9-4-10-7-16-3-1-14-2-15-11-8-13-17-12-0
